id,cnY
BMH1_TG001_3_P11_A01,none
BMH1_TG001_3_P11_A02,none
BMH1_TG001_3_P11_A03,none
BMH1_TG001_3_P11_A04,none
BMH1_TG001_3_P11_A05,none
BMH1_TG001_3_P11_A06,none
BMH1_TG001_3_P11_A07,none
BMH1_TG001_3_P11_A08,none
BMH1_TG001_3_P11_A09,none
BMH1_TG001_3_P11_A10,none
BMH1_TG001_3_P11_A11,none
BMH1_TG001_3_P11_A12,none
BMH1_TG001_3_P11_B01,none
BMH1_TG001_3_P11_B02,none
BMH1_TG001_3_P11_B03,none
BMH1_TG001_3_P11_B04,none
BMH1_TG001_3_P11_B05,none
BMH1_TG001_3_P11_B06,none
BMH1_TG001_3_P11_B08,none
BMH1_TG001_3_P11_B09,none
BMH1_TG001_3_P11_B10,none
BMH1_TG001_3_P11_B11,none
BMH1_TG001_3_P11_B12,none
BMH1_TG001_3_P11_C01,none
BMH1_TG001_3_P11_C02,none
BMH1_TG001_3_P11_C03,none
BMH1_TG001_3_P11_C04,none
BMH1_TG001_3_P11_C05,none
BMH1_TG001_3_P11_C06,none
BMH1_TG001_3_P11_C07,none
BMH1_TG001_3_P11_C08,none
BMH1_TG001_3_P11_C09,none
BMH1_TG001_3_P11_C10,none
BMH1_TG001_3_P11_C11,none
BMH1_TG001_3_P11_C12,none
BMH1_TG001_3_P11_D01,none
BMH1_TG001_3_P11_D02,loss Y
BMH1_TG001_3_P11_D03,loss Y
BMH1_TG001_3_P11_D04,none
BMH1_TG001_3_P11_D05,none
BMH1_TG001_3_P11_D06,none
BMH1_TG001_3_P11_D07,none
BMH1_TG001_3_P11_D08,none
BMH1_TG001_3_P11_D09,loss Y
BMH1_TG001_3_P11_D10,none
BMH1_TG001_3_P11_D11,none
BMH1_TG001_3_P11_D12,none
BMH1_TG001_3_P11_E01,none
BMH1_TG001_3_P11_E02,none
BMH1_TG001_3_P11_E03,none
BMH1_TG001_3_P11_E04,none
BMH1_TG001_3_P11_E05,none
BMH1_TG001_3_P11_E06,none
BMH1_TG001_3_P11_E07,none
BMH1_TG001_3_P11_E08,none
BMH1_TG001_3_P11_E09,none
BMH1_TG001_3_P11_E10,none
BMH1_TG001_3_P11_E11,none
BMH1_TG001_3_P11_E12,none
BMH1_TG001_3_P11_F01,none
BMH1_TG001_3_P11_F02,none
BMH1_TG001_3_P11_F03,loss Y
BMH1_TG001_3_P11_F04,none
BMH1_TG001_3_P11_F05,none
BMH1_TG001_3_P11_F06,none
BMH1_TG001_3_P11_F07,none
BMH1_TG001_3_P11_F08,loss Y
BMH1_TG001_3_P11_F09,none
BMH1_TG001_3_P11_F10,none
BMH1_TG001_3_P11_F11,none
BMH1_TG001_3_P11_F12,none
BMH1_TG001_3_P11_G01,loss Y
BMH1_TG001_3_P11_G02,none
