id,cnY
PD41048b_lo0049,none
PD41048b_lo0050,none
PD41048b_lo0053,none
PD41048b_lo0054,none
PD41048b_lo0055,none
PD41048b_lo0056,none
PD41048b_lo0057,none
PD41048b_lo0058,none
PD41048b_lo0059,none
PD41048b_lo0061,none
PD41048b_lo0062,none
PD41048b_lo0065,none
PD41048b_lo0066,none
PD41048b_lo0067,none
PD41048b_lo0069,none
PD41048b_lo0070,none
PD41048b_lo0072,none
PD41048b_lo0073,none
PD41048b_lo0074,none
PD41048b_lo0075,none
PD41048b_lo0079,none
PD41048b_lo0080,none
PD41048b_lo0081,none
PD41048b_lo0082,none
PD41048b_lo0088,none
PD41048b_lo0089,none
PD41048b_lo0090,none
PD41048b_lo0095,none
PD41048b_lo0097,none
PD41048b_lo0098,none
PD41048b_lo0099,none
PD41048b_lo0100,none
PD41048b_lo0101,none
PD41048b_lo0102,none
PD41048b_lo0103,none
PD41048b_lo0104,none
PD41048b_lo0105,none
PD41048b_lo0106,none
PD41048b_lo0108,loss Y
PD41048b_lo0109,none
PD41048b_lo0110,none
PD41048b_lo0111,none
PD41048b_lo0112,none
PD41048b_lo0114,none
PD41048b_lo0115,none
PD41048b_lo0116,none
PD41048b_lo0117,none
PD41048b_lo0119,none
PD41048b_lo0120,none
PD41048b_lo0121,none
PD41048b_lo0122,none
PD41048b_lo0123,none
PD41048b_lo0124,none
PD41048b_lo0125,none
PD41048b_lo0126,none
PD41048b_lo0127,none
PD41048b_lo0128,none
PD41048b_lo0130,none
PD41048b_lo0131,none
PD41048b_lo0132,none
PD41048b_lo0133,none
PD41048b_lo0134,none
PD41048b_lo0135,none
PD41048b_lo0136,none
PD41048b_lo0137,none
PD41048b_lo0138,none
PD41048b_lo0139,none
PD41048b_lo0140,none
PD41048b_lo0141,none
PD41048b_lo0142,none
PD41048b_lo0143,none
PD41048b_lo0144,none
PD41048b_lo0145,none
PD41048b_lo0146,none
PD41048b_lo0147,none
PD41048b_lo0148,none
PD41048b_lo0149,none
PD41048b_lo0150,none
PD41048b_lo0151,none
PD41048b_lo0152,none
PD41048b_lo0156,none
PD41048b_lo0157,none
PD41048b_lo0158,none
PD41048b_lo0159,loss Y
PD41048b_lo0160,none
PD41048b_lo0161,none
PD41048b_lo0162,none
PD41048b_lo0163,none
PD41048b_lo0164,none
PD41048b_lo0165,none
PD41048b_lo0166,none
PD41048b_lo0167,none
PD41048b_lo0168,none
PD41048b_lo0169,none
PD41048b_lo0170,none
PD41048b_lo0171,none
PD41048b_lo0174,none
PD41048b_lo0175,none
PD41048b_lo0176,none
PD41048b_lo0177,none
PD41048b_lo0178,none
