donor_id,CB001,CB002,KX001,KX002,SX001,AX001,KX007,KX008,KX004,KX003
Deletion_number,1,2,3,3,4,3,7,7,6,7
Duplication_number,0,1,2,2,3,0,1,1,1,3
Inversion_number,0,0,2,0,0,3,1,0,6,1
Translocation_number,0,0,0,0,0,0,0,0,4,0
Sample_number,216,390,408,380,363,361,315,367,451,328
Deletion_fraction,0.00462963,0.005128205,0.007352941,0.007894737,0.011019284,0.008310249,0.022222222,0.019073569,0.013303769,0.021341463
Duplication_fraction,0,0.002564103,0.004901961,0.005263158,0.008264463,0,0.003174603,0.002724796,0.002217295,0.009146341
Inversion_fraction,0,0,0.004901961,0,0,0.008310249,0.003174603,0,0.013303769,0.00304878
Translocation_fraction,0,0,0,0,0,0,0,0,0.00886918,0
Total,0.00462963,0.007692308,0.017156863,0.013157895,0.019283747,0.016620499,0.028571429,0.021798365,0.037694013,0.033536585
