Sample	Number_mutations	Mean_depth	Number_mutations_adj_as
PD43974af2	1301	14.9675604945023	1356.8694894719
PD43974ag2	1390	23.9189695916255	1393.95147325244
PD43974ah2	1324	19.1960464556113	1340.87812387878
PD43974aj2	1578	20.0233222011731	1591.2639459783
PD43974al2	1384	12.3840660377973	1498.46454719309
PD43974am2	1458	20.3534363220905	1470.03573397989
PD43974an2	1329	17.0731662858296	1359.94729441482
PD43974ao2	1259	10.6469738101283	1443.93003443044
PD43974ap2	1365	17.1328047184735	1395.43004718747
PD43974ar2	1499	12.6898098418712	1604.17900161785
PD43974hu	1516	16.6075457818227	1551.29028485034
PD43974hv	1481	13.641147328607	1561.80186683236
PD43974hw	1285	13.7576086036625	1363.23152465784
PD43974hx	1458	16.2194370121542	1497.35932925056
PD43974bw3	1241	13.1401903534298	1333.84448889294
PD43974ih	1421	17.37850646772	1449.38615637528
PD43974en	1379	12.7074390172451	1483.66698835523
PD43974ii	1367	19.5819678534461	1382.08987234878
PD43974ij	1511	14.1850575161612	1580.47138279038
PD43974ik	1380	16.4319180516767	1417.0780400428
PD43974il	1451	14.989059885814	1506.53544024978
PD43974im	1486	15.75768021405	1530.8003314493
PD43974in	1610	16.698634194611	1644.39646132156
PD43974io	1457	15.251267829359	1508.61616712504
PD43974ip	1521	16.7429349842783	1554.9697560423
PD43974ak	1219	11.3374379105391	1371.8521175412
PD43974aq	1559	15.7567037087671	1603.8125775509
PD43974at	1537	13.4440006770437	1622.34459005538
PD43974au	1339	11.4190314369601	1488.44746587718
PD43974av	1292	11.224166552741	1449.70677282501
PD43974ay	1342	17.1576470128703	1372.21707820556
PD43974az	1355	12.3877214225729	1469.34887998439
PD43974bb	1233	10.8577036501767	1407.48791291283
PD43974bc	1307	8.56558860483435	1635.09044509484
PD43974bd	1351	13.5490303302541	1433.89389860417
PD43974iq	1431	14.8308464998796	1489.04037746891
PD43974ir	1501	13.7306538028371	1579.81914258962
PD43974eo	1348	13.2169046084539	1438.89128964126
PD43974is	1528	16.1499456412059	1568.13474726711
PD43974it	1433	16.1732450572558	1472.87311504184
PD43974iu	1381	14.0750314109199	1452.62902417371
PD43974iv	1402	16.8319694809549	1435.12771474179
PD43974iw	1394	15.119683742489	1447.54773077743
PD43974ix	1364	15.512632723343	1411.98030011881
PD43974iy	1386	16.0598011835244	1427.1629192834
PD43974iz	1431	16.78024399612	1464.61439944889
PD43974ja	1379	14.8113261592745	1437.35703432279
PD43974jb	1350	13.97676893932	1423.61180030648
PD43974ep	1288	13.4350851838108	1373.5559020967
PD43974jc	1387	14.6126821996107	1448.67779544908
PD43974jd	1449	16.21530313979	1488.40504615103
PD43974je	1376	14.2235839045889	1444.73115134566
PD43974jf	1357	15.8059260850601	1401.19904764636
PD43974jg	1455	14.4742397906373	1519.10154937871
PD43974jh	1319	15.2447415190516	1370.71032953723
PD43974ji	1509	14.4694484047159	1573.18710456652
PD43974jj	1466	13.8857586469543	1541.4965495662
PD43974jk	1411	17.452011275381	1438.80099985062
PD43974jl	1582	16.5009016398779	1618.36554511871
PD43974eq	1432	16.9664342584093	1463.89437466856
PD43974jm	1206	17.2176760476274	1235.70840633659
PD43974jn	1335	16.8496572466457	1367.96286564944
PD43974jo	1405	14.8673970926183	1462.45198309641
PD43974jp	1496	13.2325384580331	1586.49828460961
PD43974jq	1372	16.4321426478917	1409.07569415835
PD43974jr	1353	14.9089994726871	1409.78942029553
PD43974js	1334	16.3909504000417	1371.50760192535
PD43974jt	1392	14.5218411681607	1455.25777428497
PD43974ju	1567	15.6373357029862	1613.33531972362
PD43974jv	1443	17.4999056044893	1470.42602064655
PD43974er	1427	17.0407170152791	1458.23229977122
PD43974jw	1122	8.0090098887435	1504.38071859946
PD43974jy	1436	13.5325469210788	1519.27384713025
PD43974jz	1396	11.6683104505595	1535.50566123278
PD43974kb	1414	10.683999635438	1597.05131845905
PD43974kc	1344	11.6554791711423	1484.00095884482
PD43974kd	1558	18.6213405464524	1577.91804621207
PD43974ke	1180	9.43232167386026	1438.44864332763
PD43974kf	1165	8.95225540170172	1459.96915692496
PD43974kg	1095	7.92738381214642	1486.06311972481
PD43974kh	1287	17.724908696756	1312.72891121048
PD43974kj	930	8.84119745587824	1234.12527481755
PD43974km	1511	19.4535606637632	1526.66397906005
PD43974kn	1384	15.7937230240416	1428.3503808135
PD43974et	1350	13.2842541778151	1439.21012149538
PD43974kq	1315	11.3461873978738	1467.48338639094
PD43974ks	1300	13.2664036612438	1389.65267211262
PD43974kt	1378	17.4035342981206	1406.18558754894
PD43974ku	1180	10.740402580578	1360.22584132716
PD43974kv	1385	19.3243266996074	1401.26257421373
PD43974kx	1419	20.8884440364822	1429.26700762493
PD43974kz	1493	23.0296369353358	1498.29734023195
PD43974la	1365	21.7887135519403	1372.81872065757
PD43974lb	1454	21.8880697094571	1461.58374222313
PD43974lc	1365	12.8195483337565	1466.46824096348
PD43974ld	1432	11.7158630028188	1569.68517091978
PD43974lf	1360	14.6998287860737	1420.19863583652
PD43974lg	1244	12.8036638478214	1345.91548931718
PD43974lh	1325	11.5339400686158	1469.78008032948
PD43974lj	1496	14.7947385895358	1554.62744778406
PD43974ev	1342	13.4377380231627	1427.49297111108
PD43974lk	1524	13.2417469028507	1614.2675632701
PD43974ll	1233	10.7376065204513	1413.36487760276
PD43974lm	1426	10.2298270283642	1633.4694021241
PD43974lr	1196	9.44603506304969	1453.47448258095
PD43974fb	1328	11.531394644845	1472.88186771052
PD43974ns	1456	17.2019054873087	1485.84123568637
PD43974fc	1207	11.6920558040219	1345.59361426685
PD43974ok	1385	15.6791919744286	1430.7956874662
PD43974fd	1381	12.2714619586092	1499.08548895618
PD43974om	1330	12.0615654030688	1455.14108568748
PD43974on	1424	17.6378239556276	1450.37335946503
PD43974oo	1353	14.7954904986036	1411.61517780974
PD43974op	1315	11.7739422820277	1450.49369478743
PD43974or	1321	9.67464471482791	1562.76272043512
PD43974l	1311	12.4862540606345	1422.27399653725
PD43974m	1324	13.5254932979187	1407.43697425088
PD43974p	1528	14.9579842326947	1584.0189090067
PD43974t	1376	17.1219655098334	1406.52342516774
PD43974v	1352	12.4601097591938	1464.08177674293
PD43974w	1457	19.9343235096902	1470.6145571957
PD43974z	1374	14.2446699086642	1442.3293103306
PD43974ad	1232	12.6059768633348	1339.64801569078
PD43974ae	1375	11.2609808019061	1531.11238885373
PD43974ai	1309	11.1941129751512	1468.02038171191
PD43974ls	1316	9.00790643777383	1606.48492430261
PD43974lt	1335	14.2932477914706	1402.41234863674
PD43974ee	1573	14.6899009823643	1633.36536549569
PD43974ew	1450	16.4906808845836	1486.47026253176
PD43974lu	1187	11.0376149834971	1353.03850357753
PD43974lv	1313	12.4152165563216	1426.48244257855
PD43974lw	1275	11.5003320117962	1421.12997946843
PD43974lz	1296	11.18019777487	1455.63226141097
PD43974md	903	7.6447408680481	1325.67535702287
PD43974ex	1476	16.414145655528	1513.26379192769
PD43974mf	1279	12.5623596273656	1387.95524506308
PD43974mj	1350	15.1437025174306	1403.1899248011
PD43974mk	1375	18.9979395738531	1392.87233369201
PD43974ml	1385	16.7290946494021	1419.1025055952
PD43974mm	1380	13.1959032348365	1471.42192928748
PD43974mn	1315	14.0134139275693	1387.86610211769
PD43974ey	1320	13.3173446868348	1408.39541677866
PD43974mp	1446	17.6122264971454	1472.56573763671
PD43974mq	1411	16.4845809815831	1447.53289907589
PD43974mu	1536	15.1361508765762	1589.3021712765
PD43974as2	1349	14.6197716279645	1410.55612952632
PD43974aw2	1429	19.5279898964253	1444.32874540969
PD43974ax2	1363	17.3387529376534	1391.7075732221
PD43974be2	1187	11.7066773431244	1325.03499341325
PD43974bg2	1363	14.7558997194175	1422.26546571137
PD43974bk2	1594	21.4990267497347	1602.54156689298
PD43974bm2	1377	19.8015155361991	1391.15394349691
PD43974bp2	1387	21.5690324134654	1395.36158507954
PD43974bx2	1427	21.0029750860952	1436.92095121056
PD43974by2	1533	20.3881282997741	1544.91300305876
PD43974mv	1362	12.9755841129101	1459.17680909971
PD43974ez	1363	16.2276754617242	1402.26838171283
PD43974mz	1365	17.7416557623577	1390.60673555715
PD43974ng	1433	33.9478806580344	1432.39282602531
PD43974fa	1259	9.79566626955452	1492.8357817146
PD43974nj	1199	10.9333372393545	1369.88497050321
PD43974nk	1306	11.8415587628329	1438.9859390625
PD43974nl	1414	15.4522619117369	1462.79711581905
PD43974no	1380	14.3205834293564	1446.90172022665
PD43974nq	1224	11.612246027251	1365.68271931761
PD43974os	1480	9.64890078055322	1723.48319043032
PD43974ot	1362	16.3219765768933	1400.24180364981
PD43974ou	1272	11.9095235305223	1402.51173384171
PD43974ov	1387	15.5365408276859	1434.66054847336
PD43974fe	1438	14.6133364581502	1499.66656275568
PD43974ow	1285	12.9779570207475	1382.11295294253
PD43974ox	1333	14.9704607151925	1388.82430102824
PD43974oy	1367	15.3147927530288	1417.70833310553
PD43974pb	1299	13.6893801795468	1378.72737959717
PD43974pd	1307	14.010731793059	1379.92042484224
PD43974pe	1329	13.9610048890364	1402.93489975815
PD43974pf	1324	13.6408413569517	1404.80872909857
PD43974ff	1243	10.4120103639761	1440.30762838531
PD43974pg	1313	12.5440501533113	1422.50868729119
PD43974ph	1379	18.3412788313185	1400.58246296056
PD43974pi	1305	15.038666354185	1359.77218130098
PD43974pj	1412	11.9892649519234	1539.66705654114
PD43974pk	1209	12.1274404494528	1331.88281526216
PD43974pl	1328	11.7946376839899	1462.72118140965
PD43974pm	1369	15.0407625855256	1423.74014429484
PD43974pn	1425	18.6060549837575	1445.00562881357
PD43974po	1511	14.1406753510537	1581.33390695162
PD43974pp	1500	14.0575226711977	1571.97840570936
PD43974ef	1374	14.0613798670651	1445.90129297867
PD43974fg	1417	11.6113671724964	1558.71711972796
PD43974pq	1424	18.1432565800181	1446.83894344044
PD43974ps	1354	16.4460057678912	1390.93143542549
PD43974pt	1352	15.3359406024387	1402.40960180097
PD43974pu	1337	16.454996126529	1373.83817816026
PD43974pv	1362	13.3326953498818	1450.02000225733
PD43974pw	1470	17.1112923070914	1500.61565350103
PD43974px	1493	19.0965145271436	1510.37087198505
PD43974py	1465	21.6760020571711	1473.09315884015
PD43974fh	1244	12.4986328926039	1354.89353520774
PD43974qa	1489	32.1304773808826	1488.59369297299
PD43974fi	1269	10.7806671484093	1447.23542358302
PD43974fj	1270	13.2137049261437	1360.97194396503
PD43974bf	1363	19.672525698364	1377.69698154222
PD43974bi	1288	11.7017883066747	1426.22153683534
PD43974bj	1319	9.49955080756987	1572.70762300944
PD43974bl	1512	15.0801352785319	1566.14204672113
PD43974bn	1344	17.8905012076115	1368.54517570534
PD43974bo	1305	12.3047672987911	1422.00284257956
PD43974bq	1151	12.05900370421	1276.22970674464
PD43974br	1378	13.4471059638433	1463.2711218565
PD43974bs	1100	10.043535860529	1318.39919846712
PD43974bt	1325	12.7123247986772	1429.52551814761
PD43974fk	1343	14.3777024783704	1408.84699942296
PD43974fm	1339	13.5069820127727	1422.86655454472
PD43974fn	1554	16.906782805695	1586.43589347496
PD43974fo	1357	16.9908729306226	1388.67506160829
PD43974fp	1424	12.5024998535242	1534.77494990064
PD43974fr	1269	11.7824899582707	1404.17409425646
PD43974fu	1427	14.2293876009869	1495.62031108952
PD43974fv	1462	14.3976427162471	1527.48265835244
PD43974fw	1573	14.5273779531147	1636.16033911656
PD43974fx	1577	15.857651569895	1620.56317451265
PD43974bu	1510	12.2603558385251	1628.44871740585
PD43974bv	1258	11.486091309754	1404.70574953134
PD43974ce	1214	9.46574419467609	1470.08077559334
PD43974cg	1304	11.54831422638	1448.20652422675
PD43974ci	1429	15.9257563033416	1471.73961213388
PD43974cn	1383	12.4712777246125	1494.73600603519
PD43974cp	1374	12.7212370368924	1478.26796634563
PD43974cs	1272	10.3495107708533	1472.73659424563
PD43974ab2	1092	9.79568579966018	1325.83449333967
PD43974ac2	1258	9.71955093777057	1496.79059295804
PD43974bz	1291	12.0302033083999	1417.23063931433
PD43974cj	1290	9.63187378343717	1534.62779986988
PD43974ko	1511	15.3491755040395	1561.22352757976
PD43974b3	1310	12.8854005950172	1409.63466251914
PD43974cm3	1177	12.364688917967	1292.0796990326
PD43974eg2	1320	13.3052913566262	1408.69133158014
PD43974em2	1337	14.4450780878725	1401.62394571354
PD43974es2	1365	14.6614879336497	1425.84504791007
PD43974eu2	1375	14.991169137225	1430.50277837132
PD43974cb2	1198	11.7685715029718	1333.69485706477
PD43974cc2	1506	17.4804991895006	1533.57736815248
PD43974cd2	1333	13.3150987246841	1421.45047987483
PD43974cf2	1410	18.5287287854227	1430.45434928361
PD43974ch2	1553	19.3996380420418	1568.91116516987
PD43974ck2	1371	19.5207995625256	1386.36083175311
PD43974cl2	1251	17.7136300607386	1276.81151273031
PD43974co2	1382	19.980896301649	1395.43001712938
PD43974cq2	1041	8.95171506877852	1336.01300524765
PD43974cr2	1214	11.7303055159528	1351.13693072097
PD43974ct2	1363	16.8799028702745	1395.6828254816
PD43974f2	1402	19.271113671725	1418.51528677176
PD43974g2	1387	17.7192547311681	1412.77028620373
PD43974n2	1418	18.5305223001256	1438.44383636483
PD43974o2	1149	9.7427103880632	1386.2720572102
PD43974q2	1478	18.5961206700128	1498.0627438891
PD43974r2	1256	11.5595440371332	1399.75999259256
PD43974s2	1468	34.1992103327279	1467.37212348896
PD43974u2	1417	12.1806437122825	1538.08848689939
PD43974y2	1261	9.55824203008938	1510.63961363051
PD43974ed	1333	15.314590941937	1383.7111948733
PD43974hy	1360	14.6477061890905	1421.07907299239
PD43974hz	1552	14.3041195502868	1619.20879659057
PD43974ia	1238	13.9110110735699	1312.96887253784
PD43974ib	1378	15.2111985625842	1430.19698488115
PD43974ic	1228	15.2721878275361	1279.31545060661
PD43974id	1343	15.7062965060641	1388.44952578708
PD43974ie	1300	17.0082091544115	1331.52037942696
PD43974if	1597	19.0586065920617	1614.56211059605
PD43974ig	1507	18.7022895793866	1526.46031589655
PD43974fq2	1336	13.1913527202182	1427.53729385583
PD43974fs2	1407	13.2977917960536	1495.87591974377
PD43974ft2	1415	14.2434492770606	1483.35251585641
PD43974fy2	1551	16.3230832828806	1589.22992057152
PD43974gc2	1424	14.4490687394619	1488.55220539769
PD43974gr2	1355	13.7192579861857	1434.06888515793
PD43974gx2	1558	15.6502613779141	1604.16802104928
PD43974gz2	1399	14.5253305470383	1462.19634314223
PD43974fz	1377	14.0242661562799	1449.64670735894
PD43974eh	1529	13.3453248182073	1616.71229433706
PD43974ga	1338	14.4089148422293	1403.27758846083
PD43974gb	1518	14.4189533165374	1583.09550174344
PD43974gd	1344	13.0457948427501	1439.30494373171
PD43974ge	1330	12.099763034718	1453.82664430727
PD43974gf	1441	14.4247114426889	1505.99127926447
PD43974gg	1333	12.4348768626838	1445.86692455578
PD43974gh	1382	14.4436263500186	1446.65006567244
PD43974gi	1637	14.6490374912928	1698.05643333321
PD43974gj	1469	14.34139926697	1535.5154301538
PD43974ei	1358	13.4252127154008	1443.79047556413
PD43974gl	1621	15.6326973028924	1667.39551088427
PD43974go	1475	13.8591033077489	1551.05754658967
PD43974gp	1225	11.201335859227	1383.70368708561
PD43974gq	1436	13.5446295464458	1518.99515462159
PD43974gs	1341	15.7267510367231	1386.19000420884
PD43974gt	1391	17.6696384977443	1417.1361415519
PD43974ej	1382	14.6523608642723	1442.99992981671
PD43974gu	1470	13.2712178322885	1559.53310625123
PD43974gv	1341	15.7261488584653	1386.19762163428
PD43974gw	1243	13.4854663463729	1327.3686210861
PD43974gy	1432	16.9052366723304	1464.45004642712
PD43974hc	1371	15.177512385342	1423.69025864288
PD43974hd	1408	15.8124426303146	1452.11843566292
PD43974he	1490	13.7276656966714	1568.88454888469
PD43974hf	1501	14.8836168453671	1558.19275973341
PD43974hh	1454	12.769837704822	1556.87445447689
PD43974hi	1397	14.0580662591385	1468.96754461151
PD43974hj	1238	13.6252205274431	1319.15978517014
PD43974ha2	1325	13.0979532449271	1418.93754333374
PD43974hb2	1275	12.4442024881355	1387.57613517168
PD43974hg2	1374	15.7420463644708	1418.99688998773
PD43974c	1240	12.4255675123202	1353.15795812895
PD43974e	1284	15.3097149255577	1334.78032213175
PD43974h	1231	10.4304402736819	1427.30765553817
PD43974i	1345	13.0716429375883	1439.62485329368
PD43974j	1521	13.0313100143872	1616.68817500608
PD43974k	1471	22.0219323086538	1478.27711882427
PD43974hl	1278	11.2092292769304	1436.35833310139
PD43974hm	1358	13.0187521564492	1454.02165844978
PD43974hn	1232	11.697000175771	1370.40446925184
PD43974el	1418	14.6165003352668	1479.61224833655
PD43974ho	1400	14.7767513622249	1458.92209588532
PD43974hp	1428	12.7910376345136	1530.27239492486
PD43974hq	1376	12.7733140636291	1478.77549921519
PD43974hr	1373	11.9482094148129	1502.12391195599
PD43974hs	1371	13.5906262002877	1452.94267793775
PD43974ht	1436	16.9780872214519	1467.78961838859
