gene_name,n_syn,n_mis,n_non,n_spl,n_ind,wmis_cv,wnon_cv,wspl_cv,wind_cv,pmis_cv,ptrunc_cv,pallsubs_cv,pind_cv,qmis_cv,qtrunc_cv,qallsubs_cv,pglobal_cv,qglobal_cv
DNMT3A,1,9,0,3,2,108.06968720427,423.184471299587,423.184471299587,374.691597559068,7.54951656745106e-15,5.53858175988964e-08,0,5.25404225703897e-05,1.51677337356659e-10,0.00111275646137943,0,0,0
ZNF318,0,1,1,0,2,6.5878980037558,95.8529445456111,95.8529445456111,150.040977443609,0.157144626091113,0.00794085449059212,0.0117326652251475,0.000316686547592002,0.940529397588307,0.989062862394621,0.99946512825196,5.0171352249051e-05,0.503996319017842
CSNK1A1,0,2,0,1,0,85.2018695463137,361.114751182662,361.114751182662,0,0.000246056056138588,0.00186021733784669,1.1391793222626e-05,1,0.940529397588307,0.989062862394621,0.114436258817889,0.0001410602164581,0.944680269619895
DENND2C,0,0,0,1,1,0,159.874800724222,159.874800724222,184.119175765032,0.731855574113962,0.00452360011194775,0.0166524345493178,0.00537624496417317,0.940529397588307,0.989062862394621,0.99946512825196,0.00092401079684068,0.999999997409814
C1QB,1,1,0,1,0,46.2642576590769,1268.64303766516,1268.64303766516,0,0.0177206519691241,0.00047772975202065,0.000146710935105543,1,0.940529397588307,0.989062862394621,0.982523132401821,0.00144173515713286,0.999999997409814
RP11-1396O13.13,0,2,0,0,0,149.033562234989,0,0,0,7.60407057142087e-05,0.958618707518402,0.00039811780304122,1,0.763866909252084,0.989062862394621,0.99946512825196,0.00351488757344154,0.999999997409814
FREM1,0,2,0,0,1,14.7731379525516,0,0,78.4258203969345,0.0096310696293912,0.882870862387653,0.0345999608415615,0.0124523559045855,0.940529397588307,0.989062862394621,0.99946512825196,0.00376983798371511,0.999999997409814
SPINK8,0,0,0,0,1,0,0,0,1745.37463556851,0.917521494600435,0.965256559190313,0.993709793537847,0.000572324151304544,0.940529397588307,0.989062862394621,0.99946512825196,0.00481829615713669,0.999999997409814
WBP5,0,0,0,0,1,0,0,0,1629.01632653061,0.914667543714269,0.978460103471008,0.993913441197442,0.000613157158202613,0.940529397588307,0.989062862394621,0.99946512825196,0.00512099607031857,0.999999997409814
PCDHB7,0,1,0,0,1,15.3123954127589,0,0,215.424073407701,0.0613948751843739,0.946017687081525,0.173398090823951,0.00460174727250261,0.940529397588307,0.989062862394621,0.99946512825196,0.00648998532333878,0.999999997409814
