gene_name,n_syn,n_mis,n_non,n_spl,wmis_cv,wnon_cv,wspl_cv,pmis_cv,ptrunc_cv,pallsubs_cv,qmis_cv,qtrunc_cv,qallsubs_cv
COA1,0,0,1,0,0,10391.3274733065,10391.3274733065,0.963277249478297,4.87105092029649e-05,0.000261289131574527,0.994472987542278,0.802339224966703,0.999998187855241
CYBB,0,0,1,0,0,6506.28318609663,6506.28318609663,0.960533293970439,7.98705116685783e-05,0.000417218003772701,0.994472987542278,0.802339224966703,0.999998187855241
SMIM10,0,1,0,0,5904.00055310663,0,0,8.8515715762294e-05,0.998016650046321,0.000460334146776376,0.896153063487051,0.999772365157819,0.999998187855241
GNG11,0,1,0,0,5860.61367633336,0,0,8.92094035624957e-05,0.996995295682626,0.000463739622612036,0.896153063487051,0.999772365157819,0.999998187855241
SOX17,0,0,1,0,0,3261.32552422135,3261.32552422135,0.872721565739604,0.000166092406434837,0.000822610253587097,0.994472987542278,0.836621574231091,0.999998187855241
OR4N2,0,0,1,0,0,2535.12925534287,2535.12925534287,0.898257640964629,0.000217121582464896,0.00106309714793995,0.994472987542278,0.836621574231091,0.999998187855241
KCNA4,0,0,1,0,0,2331.56964856874,2331.56964856874,0.866026881014389,0.00023736487475734,0.00114889236702764,0.994472987542278,0.836621574231091,0.999998187855241
ERCC5,0,0,1,0,0,2222.05577642198,2222.05577642198,0.916425893967682,0.000249849656333012,0.00121605413203241,0.994472987542278,0.836621574231091,0.999998187855241
C5orf30,0,1,0,0,1706.37579255924,0,0,0.000331150751838649,0.994024869148248,0.00159203682725295,0.994472987542278,0.999772365157819,0.999998187855241
C10orf105,0,1,0,0,1704.43819657859,0,0,0.000331552822318448,0.995702835794519,0.00159386716170051,0.994472987542278,0.999772365157819,0.999998187855241
TRPC5,0,2,0,0,109.392770726844,0,0,0.000350177768496884,0.958343257387257,0.00166565003704022,0.994472987542278,0.999772365157819,0.999998187855241
C1orf53,0,1,0,0,1436.39109986187,0,0,0.000398082857176574,0.992869484607214,0.00189104595157652,0.994472987542278,0.999772365157819,0.999998187855241
P2RY13,0,1,0,0,1405.13845134171,0,0,0.000407561179980975,0.994290297867565,0.00193310376884337,0.994472987542278,0.999772365157819,0.999998187855241
MOXD1,0,0,1,0,0,1360.51468245739,1360.51468245739,0.904930612531747,0.00042188002676613,0.00198232328879788,0.994472987542278,0.999772365157819,0.999998187855241
ZNF541,0,2,0,0,87.9293690292205,0,0,0.000528127765995756,0.955048214586564,0.00244265220040218,0.994472987542278,0.999772365157819,0.999998187855241
IRS4,0,2,0,0,85.8299486413802,0,0,0.000558907579999324,0.96557548408515,0.00258332556922458,0.994472987542278,0.999772365157819,0.999998187855241
C1orf195,0,1,0,0,876.208149399431,0,0,0.000676222076523736,0.990564893439198,0.00309856902815975,0.994472987542278,0.999772365157819,0.999998187855241
PTPRZ1,0,2,0,0,70.3118810738757,0,0,0.000839779225014103,0.94823665632133,0.0037504089394651,0.994472987542278,0.999772365157819,0.999998187855241
CLEC5A,0,1,0,0,709.879196796171,0,0,0.000848049999175426,0.98507547256894,0.00382315813208534,0.994472987542278,0.999772365157819,0.999998187855241
C9orf66,0,1,0,0,643.811065890403,0,0,0.000942160271212189,0.99180885474966,0.00421539804826043,0.994472987542278,0.999772365157819,0.999998187855241
CEP290,0,0,0,1,0,587.278525014725,587.278525014725,0.87483979465462,0.00104031467880883,0.00456376521086299,0.994472987542278,0.999772365157819,0.999998187855241
METRN,0,1,0,0,587.776431734831,0,0,0.0010393639930647,0.990932284191883,0.00461652710448368,0.994472987542278,0.999772365157819,0.999998187855241
BPIFA3,0,1,0,0,570.557079039936,0,0,0.00107324961886301,0.983108678034987,0.00475485057182246,0.994472987542278,0.999772365157819,0.999998187855241
AGAP1,0,0,1,0,0,541.227629867202,541.227629867202,0.78261981922964,0.00113616434754604,0.00482593963536382,0.994472987542278,0.999772365157819,0.999998187855241
PRR19,0,1,0,0,506.587253524253,0,0,0.00122030794853456,0.991692230552676,0.00535499890582192,0.994472987542278,0.999772365157819,0.999998187855241
SLC26A6,0,1,0,0,432.616637092813,0,0,0.00144746000992324,0.987577696214143,0.00626808311762783,0.994472987542278,0.999772365157819,0.999998187855241
OR5B17,0,1,0,0,413.909488995532,0,0,0.00151842132013602,0.985493370792952,0.00655040361484938,0.994472987542278,0.999772365157819,0.999998187855241
CAD,0,0,1,0,0,392.532680518474,392.532680518474,0.781721849152508,0.0016082015527733,0.00664724448151433,0.994472987542278,0.999772365157819,0.999998187855241
RP1-228P16.5,0,1,0,0,345.44788687804,0,0,0.00184722509114932,0.988629055926866,0.0078453196485071,0.994472987542278,0.999772365157819,0.999998187855241
RHCE,0,1,0,0,345.16708740784,0,0,0.00184885602120299,0.983017270259449,0.00785070209713923,0.994472987542278,0.999772365157819,0.999998187855241
ZC2HC1B,0,1,0,0,332.092939769463,0,0,0.00192799918574182,0.975393057384621,0.00815681271679103,0.994472987542278,0.999772365157819,0.999998187855241
NRG3,0,0,1,0,0,314.99672365752,314.99672365752,0.788055212724952,0.00204191105411067,0.00829689851000204,0.994472987542278,0.999772365157819,0.999998187855241
KDELC2,0,1,0,0,308.996187426444,0,0,0.00208503265061188,0.983867259402093,0.00876692059176376,0.994472987542278,0.999772365157819,0.999998187855241
GLCE,0,1,0,0,307.079241123206,0,0,0.00209918128375186,0.984011843805122,0.00882150217904298,0.994472987542278,0.999772365157819,0.999998187855241
CDC123,0,1,0,0,304.571551449742,0,0,0.00211797236568434,0.975881015591885,0.00889161691579865,0.994472987542278,0.999772365157819,0.999998187855241
ITIH6,0,2,0,0,43.0932929954569,0,0,0.00215587854314947,0.942261373760587,0.00893700579536316,0.994472987542278,0.999772365157819,0.999998187855241
APLP1,0,1,0,0,297.827951027316,0,0,0.00217015359127937,0.982358600667674,0.00909420312114584,0.994472987542278,0.999772365157819,0.999998187855241
DPPA5,0,1,0,0,297.499870639793,0,0,0.00217275560389096,0.981952633481125,0.00910409478932084,0.994472987542278,0.999772365157819,0.999998187855241
EPHA7,0,1,0,0,274.272961299621,0,0,0.00237362437436095,0.977443381522938,0.00987084772294489,0.994472987542278,0.999772365157819,0.999998187855241
DUSP26,0,1,0,0,256.121056320729,0,0,0.00255734010686925,0.980417049473601,0.0105687275761692,0.994472987542278,0.999772365157819,0.999998187855241
TNIK,0,0,1,0,0,247.173046863364,247.173046863364,0.811638357005132,0.00265836113302909,0.0106464266174746,0.994472987542278,0.999772365157819,0.999998187855241
MGAT5,0,1,0,0,253.614186900603,0,0,0.00258488689306957,0.975762406071407,0.0106710726109553,0.994472987542278,0.999772365157819,0.999998187855241
GGN,0,1,0,0,239.390403103155,0,0,0.00275269098667708,0.987324577874156,0.0113062548530815,0.994472987542278,0.999772365157819,0.999998187855241
