gene_name,n_syn,n_mis,n_non,n_spl,n_ind,wmis_cv,wnon_cv,wspl_cv,wind_cv,pmis_cv,ptrunc_cv,pallsubs_cv,pind_cv,qmis_cv,qtrunc_cv,qallsubs_cv,pglobal_cv,qglobal_cv
DNMT3A,1,17,1,3,2,20.1464870532197,51.4618949106563,51.4618949106563,25.4497167389,1.79500858621395e-12,2.76069436588866e-06,9.2148511043888e-15,0.00383227001998181,3.60635175056245e-08,0.0277325552525345,1.85135573538275e-10,1.33226762955019e-15,2.67665889452928e-11
ZNF318,0,3,4,1,5,2.1147062740737,50.826491167225,50.826491167225,37.9850387141261,0.307420024963856,2.51818136787207e-07,1.60370664070708e-06,2.83950455484595e-06,0.798961865997602,0.00505927818619178,0.0107400233728153,1.23474785951316e-10,1.24036596227395e-06
HIST2H3D,0,3,1,0,0,53.9346023541725,1020.51748616931,1020.51748616931,0,3.91559737742408e-05,0.000619489525695127,8.5256533843836e-07,1,0.393341334549136,0.889011718624343,0.00856444510728255,1.27671795734363e-05,0.085501801603303
CDK13,0,3,1,0,3,2.89570241821638,13.0709793015988,13.0709793015988,34.1045523844103,0.158181259745936,0.0748340525642245,0.0910861939232978,0.000230106242534707,0.798961865997602,0.955271918593312,0.972154655825921,0.000246754506147084,0.999999982241374
CBFB,0,3,0,0,1,21.8131518449197,0,0,90.8403830595352,0.000620351818182985,0.845249769433704,0.00278378173085903,0.0109266989174531,0.798961865997602,0.955271918593312,0.972154655825921,0.000346774945521489,0.999999982241374
UROS,0,0,1,2,0,0,88.927057449506,88.927057449506,0,0.508163471745855,8.37960252331182e-06,3.5723656813591e-05,1,0.798961865997602,0.0561181980986193,0.179430997260464,0.000401523093777723,0.999999982241374
CILP2,2,7,1,0,2,4.17532508314979,12.7496127600658,12.7496127600658,22.7720368471629,0.00810674603281503,0.0757149370509077,0.00881349935005327,0.00473796251510772,0.798961865997602,0.955271918593312,0.972154655825921,0.000462830081371268,0.999999982241374
CHEK2,0,4,0,1,1,8.38214727034611,19.3395427498374,19.3395427498374,41.4832148124925,0.00361638893850624,0.0482645518456247,0.00292057674106783,0.0237176302735077,0.798961865997602,0.955271918593312,0.972154655825921,0.000732695279683226,0.999999982241374
SRCAP,0,6,2,1,2,2.48773277812872,18.1450575737979,18.1450575737979,8.52699367867294,0.113440743229215,0.00107841152888488,0.0027198455725771,0.0288818825242543,0.798961865997602,0.955271918593312,0.972154655825921,0.000821027208819713,0.999999982241374
ARID2,1,3,2,2,0,2.11583380387732,32.1954663395731,32.1954663395731,0,0.300236815731246,1.82535525541372e-05,8.99312261966045e-05,1,0.798961865997602,0.0916830310912926,0.331054484466313,0.000927772377422142,0.999999982241374
UBE2L6,0,1,0,2,0,11.0622665593608,168.92806552645,168.92806552645,0,0.0901614499782462,6.31737598151272e-05,9.88665027523705e-05,1,0.798961865997602,0.253844801689144,0.331054484466313,0.00101058769324547,0.999999982241374
SPHKAP,0,10,0,0,2,3.27418368745396,0,0,24.3721705836662,0.0163079948661632,0.524775216936951,0.0394687054123471,0.00416262487309798,0.798961865997602,0.955271918593312,0.972154655825921,0.00159592267451136,0.999999982241374
CTNNA3,1,5,0,0,2,3.09394433639206,0,0,46.8048647433241,0.064166688108671,0.568142753602797,0.144355718854638,0.00117915815225125,0.798961865997602,0.955271918593312,0.972154655825921,0.00164744503086744,0.999999982241374
UQCC1,0,2,1,0,1,8.56473424764865,28.7051564537714,28.7051564537714,55.4947026218836,0.0311844671927274,0.0310158165155191,0.0117317131166109,0.017801900927293,0.798961865997602,0.955271918593312,0.972154655825921,0.00197859565550118,0.999999982241374
KIAA1217,5,15,1,0,2,2.59754503814574,2.6703212138818,2.6703212138818,19.4462389883415,0.0142679169206391,0.409047218107221,0.0437325015748192,0.00639091880299681,0.798961865997602,0.955271918593312,0.972154655825921,0.00256643632603626,0.999999982241374
CADPS,1,8,0,0,2,2.49323494054384,0,0,31.8687350895262,0.0741919631108987,0.416916995991292,0.126090467750478,0.00248721337426571,0.798961865997602,0.955271918593312,0.972154655825921,0.00284364633405609,0.999999982241374
ACSM2B,0,5,3,0,0,4.77290227611816,20.9845571422186,20.9845571422186,0,0.0144026710268115,0.000697114785568442,0.000407588547543747,1,0.798961865997602,0.933715543790372,0.972154655825921,0.00358892001784628,0.999999982241374
USH1C,2,0,0,2,1,0,6.70635022206339,6.70635022206339,21.2131919398803,0.0314911235293374,0.0481118298156931,0.00897298940732505,0.0456738605597074,0.798961865997602,0.955271918593312,0.972154655825921,0.00360641729026612,0.999999982241374
OPRD1,0,0,1,0,1,0,40.2339334284235,40.2339334284235,58.3416623873548,0.185985847435947,0.0212701408556343,0.0259011664282432,0.0169432159764631,0.798961865997602,0.955271918593312,0.972154655825921,0.00383174692337085,0.999999982241374
CHRNG,0,1,0,0,2,1.57438404927543,0,0,70.3876382411623,0.688911823431534,0.710820286015356,0.858728424230471,0.000529848640663182,0.815499825887435,0.955271918593312,0.972154655825921,0.00395629187669477,0.999999982241374
MUM1L1,1,0,0,0,2,0,0,0,36.9938833286135,0.105625914869495,0.652627626387015,0.247875799663116,0.00186375716634553,0.798961865997602,0.955271918593312,0.972154655825921,0.00400998358728077,0.999999982241374
SMC3,0,3,0,0,2,4.42503827783285,0,0,26.2145576690829,0.0571901156813098,0.649787061853996,0.143122592716388,0.00362107756763535,0.798961865997602,0.955271918593312,0.972154655825921,0.00443889921235396,0.999999982241374
CARD6,0,1,2,0,1,1.1408677176393,32.8937020316069,32.8937020316069,14.6130089931148,0.903713485320363,0.00195995878301713,0.00823004888229617,0.0653778649999752,0.935661305517723,0.955271918593312,0.972154655825921,0.00458835119966183,0.999999982241374
TCF4,0,1,2,1,0,1.39813605417816,38.8340253675028,38.8340253675028,0,0.764191439927014,0.000107342155062695,0.000552136893922528,1,0.850394776405959,0.359435206227435,0.972154655825921,0.00469411026255306,0.999999982241374
DFFA,0,1,0,1,1,4.57666381401144,59.2207358932221,59.2207358932221,44.2046991772146,0.237719358773423,0.01383253121715,0.0264984250254671,0.0222796018676822,0.798961865997602,0.955271918593312,0.972154655825921,0.004979662323226,0.999999982241374
ITPKA,0,0,0,0,2,0,0,0,49.6409777325927,0.311542293078888,0.821278193691649,0.585253382139254,0.00105114490659396,0.798961865997602,0.955271918593312,0.972154655825921,0.0051636173594275,0.999999982241374
RIMS2,1,10,1,0,1,4.09002807099501,3.29991569551636,3.29991569551636,18.9458844514233,0.00359861272559869,0.333562545806445,0.012296887522484,0.0509490348760576,0.798961865997602,0.955271918593312,0.972154655825921,0.00524727147800719,0.999999982241374
HIST1H4D,0,2,0,0,1,11.2975688974635,0,0,87.880974581427,0.0178758791193719,0.946058019665189,0.0603840798331166,0.0112918347540734,0.798961865997602,0.958899089991477,0.972154655825921,0.00565299288680698,0.999999982241374
YRDC,1,0,0,1,1,0,79.0806937705542,79.0806937705542,35.0528127436787,0.450431314382826,0.00994217176884238,0.026153762207462,0.027985613617685,0.798961865997602,0.955271918593312,0.972154655825921,0.00601633039286009,0.999999982241374
GRAP2,0,3,0,0,1,9.1381545789704,0,0,36.4285656615646,0.00802931209095814,0.765458539226328,0.0280201173739447,0.026948134262962,0.798961865997602,0.955271918593312,0.972154655825921,0.00618318473028112,0.999999982241374
RPSAP58,0,3,0,0,0,33.5676367802214,0,0,0,0.000167617644812768,0.923012417527437,0.000834847666755678,1,0.798961865997602,0.955271918593312,0.972154655825921,0.00675246606170876,0.999999982241374
MUC20,3,1,0,0,2,0.598667112443652,0,0,50.2035651247957,0.600389361847956,0.768527726341357,0.836962507250299,0.00102823925640528,0.798961865997602,0.955271918593312,0.972154655825921,0.00693459597262691,0.999999982241374
ECE2,2,2,2,1,0,2.03535073374963,30.401865705459,30.401865705459,0,0.401168377085173,0.000201156030809058,0.00086707271156683,1,0.798961865997602,0.577346544997825,0.972154655825921,0.00698027150867297,0.999999982241374
TRIM51,1,6,0,0,0,9.89371912363163,0,0,0,0.000203416041729576,0.746177138065401,0.000924770368545991,1,0.798961865997602,0.955271918593312,0.972154655825921,0.00738518389010179,0.999999982241374
RTDR1,0,5,0,0,0,12.7785760797721,0,0,0,0.000206914582261741,0.823272558909407,0.00098318152500787,1,0.798961865997602,0.955271918593312,0.972154655825921,0.00779143513940261,0.999999982241374
CSNK1A1,0,3,0,1,0,13.612613006892,36.7420967357149,36.7420967357149,0,0.00253072687322919,0.0235380606822431,0.00109337689744682,1,0.798961865997602,0.955271918593312,0.972154655825921,0.00854855010756972,0.999999982241374
DYNC1H1,2,7,2,2,1,1.81563257057767,10.783606403213,10.783606403213,3.40100352474661,0.248264291813894,0.00120727228984374,0.00456773070136351,0.243956075025703,0.798961865997602,0.955271918593312,0.972154655825921,0.00869118945683545,0.999999982241374
MAS1,0,0,2,0,0,0,58.9262844165722,58.9262844165722,0,0.247714991386236,0.000576778457503591,0.00112785079141597,1,0.798961865997602,0.889011718624343,0.972154655825921,0.00878307195936934,0.999999982241374
TEX35,0,1,1,0,1,3.02352567825344,18.4019252777359,18.4019252777359,93.2881643773149,0.367313246228511,0.0510277321862844,0.107208261283082,0.0106420668302085,0.798961865997602,0.955271918593312,0.972154655825921,0.00887168595027954,0.999999982241374
