gene_name,n_syn,n_mis,n_non,n_spl,n_ind,wmis_cv,wnon_cv,wspl_cv,wind_cv,pmis_cv,ptrunc_cv,pallsubs_cv,pind_cv,qmis_cv,qtrunc_cv,qallsubs_cv,pglobal_cv,qglobal_cv
DNMT3A,1,15,1,3,2,30.5902270240075,89.9790066837011,89.9790066837011,40.6871623614708,1.02029495963052e-13,3.06620059564722e-07,1.11022302462516e-16,0.0020821226080651,2.04987460339368e-09,0.00308015180835741,2.2305490787744e-12,0,0
ZNF318,0,2,4,1,5,2.40795204461101,90.1836714879323,90.1836714879323,53.2611639670453,0.320148120853427,1.61075685012335e-08,1.10020912602593e-07,3.48681222949631e-06,0.82001145518186,0.000323617158758283,0.00110521507754935,1.13510312260701e-11,1.14026784181487e-07
ARID2,1,2,2,2,0,2.34271035618622,55.1265769151982,55.1265769151982,0,0.328644367316866,2.24238506552066e-06,1.21422858082587e-05,1,0.82001145518186,0.0150172527837918,0.0813168880579086,0.000149578590795563,0.999999992553706
CDK13,0,1,1,0,3,1.66330500422998,23.0267417815064,23.0267417815064,48.9157856931899,0.657438378273682,0.0400050892721739,0.11513743567395,0.000170118842795526,0.82001145518186,0.971820065438359,0.990181911012845,0.000231923216344465,0.999999992553706
SRCAP,0,5,2,1,1,3.25426608279861,29.1277961606704,29.1277961606704,6.52094071121078,0.0616930806470926,0.000272644716725168,0.000526274096988577,0.133954217952783,0.82001145518186,0.608633889302816,0.876663789685059,0.000744440630026877,0.999999992553706
TET2,1,5,2,0,1,4.70665253808415,26.5230560485779,26.5230560485779,14.3542242546313,0.014659911085956,0.00303647444590671,0.00121008357159624,0.0653717540947078,0.82001145518186,0.971820065438359,0.990181911012845,0.000826233418708355,0.999999992553706
RTDR1,0,5,0,0,0,22.4720229269799,0,0,0,1.59956648879689e-05,0.867862305767308,8.85576577008829e-05,1,0.160684451632091,0.971820065438359,0.444802975217109,0.000914965030703763,0.999999992553706
CBFB,0,2,0,0,1,26.0083445290832,0,0,128.659566164199,0.00328860504285422,0.885307163287379,0.0131194103107022,0.00771596766209876,0.82001145518186,0.971820065438359,0.990181911012845,0.00103234552463094,0.999999992553706
CSNK1A1,0,3,0,1,0,24.0239904244614,66.5619799510125,66.5619799510125,0,0.000488801157863983,0.0122469133930234,0.000140986475921645,1,0.783140722152515,0.971820065438359,0.566511857548354,0.00139109192885023,0.999999992553706
CTNNA3,0,3,0,0,2,3.54681288189229,0,0,74.5829419401165,0.101794140152948,0.683383274281521,0.235090630880685,0.000644837339460171,0.82001145518186,0.971820065438359,0.990181911012845,0.00148476852335611,0.999999992553706
LPHN2,0,10,1,0,0,7.7316610018345,7.29861983206419,7.29861983206419,0,6.96360544174546e-05,0.14401210130871,0.000224494537074627,1,0.36234155595536,0.971820065438359,0.677885642619905,0.0021106211264299,0.999999992553706
KIAA1919,0,3,1,0,0,17.2067738018498,100.654637213187,100.654637213187,0,0.0013304947664956,0.007751260058806,0.000236185331657923,1,0.82001145518186,0.971820065438359,0.677885642619905,0.00220854394341152,0.999999992553706
MUM1L1,1,0,0,0,2,0,0,0,68.3818688835686,0.178828668068025,0.717851068822396,0.382455876435022,0.000763742489738144,0.82001145518186,0.971820065438359,0.990181911012845,0.00266931295341988,0.999999992553706
SPHKAP,0,6,0,0,2,3.19907558818686,0,0,36.9190412048393,0.0494365683604159,0.623540802848826,0.120792895233803,0.00250656385530578,0.82001145518186,0.971820065438359,0.990181911012845,0.00275601652758772,0.999999992553706
DFFA,0,0,0,1,1,0,111.990695075923,111.990695075923,63.5013749914035,0.630456773441105,0.00689099875641286,0.0227047576252025,0.0155175106968991,0.82001145518186,0.971820065438359,0.990181911012845,0.00315361648845369,0.999999992553706
ITPKA,0,0,0,0,2,0,0,0,81.6456959993758,0.41247104668401,0.855390510248161,0.703598831370293,0.000540354940861667,0.82001145518186,0.971820065438359,0.990181911012845,0.00337414965366634,0.999999992553706
MANF,1,3,0,0,0,40.114853641684,0,0,0,9.47544964142732e-05,0.909496663077406,0.0004864717144345,1,0.36234155595536,0.971820065438359,0.876663789685059,0.00419743936295214,0.999999992553706
BTN3A2,0,0,0,1,1,0,99.3909872573861,99.3909872573861,52.1954296323928,0.667504462816379,0.0078600478995241,0.0262564576844901,0.0188191218883327,0.82001145518186,0.971820065438359,0.990181911012845,0.00425574968599285,0.999999992553706
RNF165,0,5,0,0,0,15.1864767153232,0,0,0,0.000103660148414897,0.78852015288263,0.000502117302835892,1,0.36234155595536,0.971820065438359,0.876663789685059,0.00431654016544714,0.999999992553706
TRUB2,0,2,0,0,1,14.8653432043804,0,0,72.3477888429919,0.0104699689606723,0.884261496775891,0.0372408599993124,0.0136444811699814,0.82001145518186,0.971820065438359,0.990181911012845,0.00436219761043644,0.999999992553706
TREM1,1,0,2,0,0,0,119.297665326252,119.297665326252,0,0.527624508501914,0.000129410645469674,0.000510297802083892,1,0.82001145518186,0.608633889302816,0.876663789685059,0.00437861849484344,0.999999992553706
SPPL3,0,4,0,0,0,21.5905129284719,0,0,0,0.000108210110782547,0.85722636917845,0.000542162799020862,1,0.36234155595536,0.971820065438359,0.876663789685059,0.00461919681363954,0.999999992553706
MAS1,0,0,2,0,0,0,98.5790815066871,98.5790815066871,0,0.36093793349335,0.000201138058214201,0.000573753596563198,1,0.82001145518186,0.608633889302816,0.876663789685059,0.00485585485432249,0.999999992553706
SMC3,0,2,0,0,2,4.96990527920276,0,0,35.7339335500343,0.0912092544465062,0.730803107223426,0.223068413076308,0.00266714289497014,0.82001145518186,0.971820065438359,0.990181911012845,0.00501370300468806,0.999999992553706
GDF5OS,0,0,2,0,0,0,96.0038969023841,96.0038969023841,0,0.365510446394963,0.000212637153291451,0.000610885125458704,1,0.82001145518186,0.608633889302816,0.876663789685059,0.0051318025789453,0.999999992553706
OVCH1-AS1,0,4,0,0,0,20.0427941663382,0,0,0,0.000144794779325164,0.842656497453688,0.000709458893663695,1,0.415581701631695,0.971820065438359,0.941535819223007,0.0058537510073553,0.999999992553706
UROS,0,0,1,1,0,0,104.457128235375,104.457128235375,0,0.611335632427854,0.000178102228829524,0.00074981698808263,1,0.82001145518186,0.608633889302816,0.941535819223007,0.00614526114045877,0.999999992553706
HIST1H2AC,0,3,0,0,0,32.446882391105,0,0,0,0.000196314848686874,0.945032650232245,0.000971650519262957,1,0.493020203120998,0.971820065438359,0.990181911012845,0.00771151830509509,0.999999992553706
ACSM2B,0,4,2,0,0,6.50185368340214,24.5901063879812,24.5901063879812,0,0.00950462993110956,0.0036961766030319,0.00100068327397074,1,0.82001145518186,0.971820065438359,0.990181911012845,0.00791247493498193,0.999999992553706
PTGES3L-AARSD1,0,0,1,1,0,0,79.260241929137,79.260241929137,0,0.479053492089557,0.00031804154323456,0.00110020639517816,1,0.82001145518186,0.638977264512554,0.990181911012845,0.00859509564555361,0.999999992553706
GRAP2,0,2,0,0,1,10.5473159414855,0,0,58.4389136801945,0.0210438835826163,0.822981778052236,0.0676205379458301,0.0168404348976475,0.82001145518186,0.971820065438359,0.990181911012845,0.00885706001476627,0.999999992553706
HYOU1,2,5,1,0,0,8.35932551438787,16.943607582971,16.943607582971,0,0.00119481619101036,0.0553061655277286,0.00119879933183165,1,0.82001145518186,0.971820065438359,0.990181911012845,0.00926244485156846,0.999999992553706
MAGEB2,0,2,0,0,1,7.84289037019284,0,0,94.224914851242,0.0379817990583511,0.884132620548764,0.114581477008368,0.010507869182449,0.82001145518186,0.971820065438359,0.990181911012845,0.00929746374735563,0.999999992553706
HIST2H3D,0,0,1,0,0,0,2295.6035422696,2295.6035422696,0,0.821809106045549,0.000262301643560003,0.00124257331025279,1,0.860006566775591,0.608633889302816,0.990181911012845,0.00955609801609125,0.999999992553706
FMO1,0,0,1,0,1,0,18.4759136534373,18.4759136534373,66.9732136430379,0.328348039763612,0.0511909981803406,0.0860596239635782,0.0147242552204803,0.82001145518186,0.971820065438359,0.990181911012845,0.009720381145365,0.999999992553706
SPINK2,0,1,0,0,1,13.3066752218396,0,0,152.796006386546,0.0739055440584481,0.921829956762759,0.201376814496959,0.00650458157891789,0.82001145518186,0.971820065438359,0.990181911012845,0.0100045736859473,0.999999992553706
NR5A1,0,1,1,0,1,2.00270530924074,35.9948598235195,35.9948598235195,49.9286177150526,0.553884119114312,0.024275074993486,0.0705439402462816,0.0196577020641337,0.82001145518186,0.971820065438359,0.990181911012845,0.0105125438242076,0.999999992553706
IYD,0,2,0,0,1,6.83897567682926,0,0,97.7368265206626,0.0496508893236173,0.821368036173682,0.14100753251923,0.0101339015069316,0.82001145518186,0.971820065438359,0.990181911012845,0.0107897798515859,0.999999992553706
