gene_name,n_syn,n_mis,n_non,n_spl,n_ind,wmis_cv,wnon_cv,wspl_cv,wind_cv,pmis_cv,ptrunc_cv,pallsubs_cv,pind_cv,qmis_cv,qtrunc_cv,qallsubs_cv,pglobal_cv,qglobal_cv
ZNF318,0,1,3,1,3,1.34004884904569,80.5608255704665,80.5608255704665,38.4081063213393,0.794777820601099,6.08705300608747e-07,3.83267795234232e-06,0.000242296941183613,0.845100119528549,0.0122294981945303,0.0770023327405096,2.02419724315561e-08,0.000406681468122394
CDK13,0,1,1,0,3,1.88177441632494,26.0923759738965,26.0923759738965,60.4486303672135,0.589242774555017,0.0350905209484245,0.0996607788356693,6.58808729833301e-05,0.828747201470275,0.974407611553743,0.993376080315196,8.4918941940515e-05,0.732338899951728
ARID2,1,2,2,2,0,2.57258053832993,60.727900941555,60.727900941555,0,0.285924855515095,1.63569662081642e-06,8.63816322738131e-06,1,0.828747201470275,0.0164313904044113,0.086774668700659,0.000109353277579771,0.732338899951728
DNMT3A,0,6,1,0,0,16.3579194827118,29.864754676419,29.864754676419,0,2.17048580540835e-05,0.0301721653438033,2.11044494535795e-05,1,0.218036151582296,0.974407611553743,0.141336497990622,0.0002483155150238,0.999999993075267
SRCAP,0,5,2,1,1,3.66518741903925,32.867972159669,32.867972159669,7.75551783866613,0.0440626544871455,0.000200518513507664,0.000332782768556861,0.116709815430943,0.828747201470275,0.575516779268925,0.868826485540414,0.000433291368395539,0.999999993075267
RTDR1,0,5,0,0,0,24.9459662815636,0,0,0,1.10484369294506e-05,0.874241035138933,6.2293842200134e-05,1,0.218036151582296,0.974407611553743,0.312886395910723,0.000665525481272411,0.999999993075267
KIAA1919,0,3,1,0,0,19.3531618620576,112.826345152698,112.826345152698,0,0.000992487620225635,0.00689637568927814,0.000167466936188299,1,0.828747201470275,0.974407611553743,0.672915642991821,0.00162354582964819,0.999999993075267
MUM1L1,1,0,0,0,2,0,0,0,82.9763529618567,0.199686923290165,0.731044087869399,0.417122276106915,0.000452095226285788,0.828747201470275,0.974407611553743,0.993376080315196,0.00180583119848854,0.999999993075267
CTNNA3,0,2,0,0,2,2.66112559453846,0,0,90.5851146534364,0.276847589643682,0.700825489101373,0.506635234578272,0.000380460957087727,0.828747201470275,0.974407611553743,0.993376080315196,0.00184159810373452,0.999999993075267
DFFA,0,0,0,1,1,0,126.878632712169,126.878632712169,73.3318943489579,0.652064323041423,0.00606056979549852,0.0205231379148721,0.0134881986671469,0.828747201470275,0.974407611553743,0.993376080315196,0.00254457037087397,0.999999993075267
ITPKA,0,0,0,0,2,0,0,0,89.1441584104591,0.438845953214493,0.862927681500649,0.730695873355787,0.000392655176642062,0.828747201470275,0.974407611553743,0.993376080315196,0.00262705845254396,0.999999993075267
SMC3,0,2,0,0,2,5.55192799705237,0,0,43.2185545139842,0.0757775910808842,0.745111534758729,0.193136697274955,0.00161372760507637,0.828747201470275,0.974407611553743,0.993376080315196,0.00282795835850969,0.999999993075267
MANF,1,3,0,0,0,45.4599798643803,0,0,0,6.76173711855466e-05,0.91527489082982,0.000353936374533848,1,0.452833534829605,0.974407611553743,0.868826485540414,0.00316645404300453,0.999999993075267
TREM1,1,0,2,0,0,0,131.853740667144,131.853740667144,0,0.54752060974342,0.000107352275005246,0.00043605577314676,1,0.828747201470275,0.49955745997403,0.868826485540414,0.00381014214687025,0.999999993075267
MAS1,0,0,2,0,0,0,119.027184980469,119.027184980469,0,0.405586192485874,0.000139668143553706,0.000441894001919296,1,0.828747201470275,0.49955745997403,0.868826485540414,0.00385527793558427,0.999999993075267
GDF5OS,0,0,2,0,0,0,115.346238815849,115.346238815849,0,0.410078192847998,0.000149188430632829,0.000474448441943331,1,0.828747201470275,0.49955745997403,0.868826485540414,0.00410557203254558,0.999999993075267
