gene_name,n_syn,n_mis,n_non,n_spl,n_ind,wmis_cv,wnon_cv,wspl_cv,wind_cv,pmis_cv,ptrunc_cv,pallsubs_cv,pind_cv,qmis_cv,qtrunc_cv,qallsubs_cv,pglobal_cv,qglobal_cv
ECE2,1,2,2,1,0,5.42891689237489,78.0796450702177,78.0796450702177,0,0.0773494586141833,1.3276965043385e-05,2.70466338005981e-05,1,0.843866475738091,0.266747504686649,0.422795105623215,0.000311521721798935,0.999999998120736
CHRNG,0,0,0,0,2,0,0,0,198.12360728075,0.466214526148074,0.803778090892967,0.744714532185244,5.11226088676822e-05,0.843866475738091,0.977683077107757,0.996810799187675,0.000425491322938898,0.999999998120736
HIST2H3D,0,3,0,0,0,98.8685103942736,0,0,0,7.1611435346064e-06,0.973165735770828,4.20880101162924e-05,1,0.143874534753777,0.979006786141643,0.422795105623215,0.00046615617927237,0.999999998120736
ASPM,0,7,1,0,1,7.89794509960642,10.2127138922448,10.2127138922448,14.7538856485665,0.000572244719049375,0.100772816208067,0.00120630089085927,0.0655107721773971,0.843866475738091,0.977683077107757,0.996810799187675,0.000825481740177381,0.999999998120736
DYNC1H1,0,4,1,2,1,3.23367353795301,24.1742631992524,24.1742631992524,11.0423960158628,0.0946168622632449,0.000533923578286966,0.00130177251331842,0.0865420859600661,0.843866475738091,0.977683077107757,0.996810799187675,0.00113685020214116,0.999999998120736
CILP2,0,3,1,0,1,6.54132046740316,45.3603537282371,45.3603537282371,44.1221103058592,0.0231175862016333,0.0190647281212829,0.00679897014391895,0.0224068884353726,0.843866475738091,0.977683077107757,0.996810799187675,0.00149134963621156,0.999999998120736
SETX,0,6,0,0,1,8.61930537605885,0,0,18.9560451738878,0.000737737875492805,0.723087546939157,0.00297727329523945,0.0513727473649595,0.843866475738091,0.977683077107757,0.996810799187675,0.00149668307897033,0.999999998120736
GTF2E1,0,4,0,0,0,27.2477152399101,0,0,0,5.13987505129654e-05,0.885716237115,0.000270319558858256,1,0.516326148277994,0.977683077107757,0.996810799187675,0.00249123957613906,0.999999998120736
PIAS4,0,0,2,0,0,0,165.603436870333,165.603436870333,0,0.561115645469785,7.16564166466371e-05,0.000297932474667473,1,0.843866475738091,0.664232949443539,0.996810799187675,0.00271674008083134,0.999999998120736
CYB5R4,0,1,0,1,1,5.95290620825624,45.7395990511035,45.7395990511035,98.3027093596059,0.182470612145411,0.0188887682679038,0.0297654770292516,0.0101205672083117,0.843866475738091,0.977683077107757,0.996810799187675,0.00274360287251763,0.999999998120736
SUSD5,0,0,1,0,1,0,49.8287040080462,49.8287040080462,81.4508163265306,0.401341246266548,0.0171715438262596,0.0383970258210254,0.0122015242528337,0.843866475738091,0.977683077107757,0.996810799187675,0.00406002621828416,0.999999998120736
PDCD10,0,0,1,1,0,0,141.823140592086,141.823140592086,0,0.725813279593254,9.91836567781901e-05,0.000470484535170956,1,0.843866475738091,0.664232949443539,0.996810799187675,0.00407521823144008,0.999999998120736
TEAD2,0,0,1,0,1,0,39.0946428553192,39.0946428553192,113.526580278129,0.507270926433131,0.0225001170281728,0.0569543876989606,0.0087694337315968,0.843866475738091,0.977683077107757,0.996810799187675,0.00429632918396627,0.999999998120736
LIPG,0,3,0,0,1,7.47728214197595,0,0,102.423182207015,0.0160876150818615,0.788805431320177,0.0523576408167218,0.00971542264594631,0.843866475738091,0.977683077107757,0.996810799187675,0.00436632643876356,0.999999998120736
AC003102.1,0,0,0,0,1,0,0,0,1386.86525096525,0.888053318288703,0.97597351430744,0.989693051426976,0.000720788022688195,0.903798146889131,0.979781629388534,0.996810799187675,0.00588201926727305,0.999999998120736
CYP1A2,0,5,0,0,0,14.4619304050523,0,0,0,0.000163566330838028,0.829583467635513,0.000786593586501461,1,0.843866475738091,0.977683077107757,0.996810799187675,0.00640900632064911,0.999999998120736
CHEK2,0,2,0,0,1,10.6603741543935,0,0,87.4174008274519,0.0216308859614717,0.836433297992861,0.0695075887835808,0.0113735251011211,0.843866475738091,0.977683077107757,0.996810799187675,0.00643724964791237,0.999999998120736
XCR1,0,2,0,0,1,7.39610925983233,0,0,153.634773310522,0.0445873779011202,0.88028397433609,0.131056710701147,0.00648758973183168,0.843866475738091,0.977683077107757,0.996810799187675,0.00686144525548948,0.999999998120736
SLC17A4,0,1,1,0,1,2.71209066660257,23.0029806571009,23.0029806571009,103.040189328744,0.415884166328535,0.0406975759205566,0.0969063171753398,0.00965753117754694,0.843866475738091,0.977683077107757,0.996810799187675,0.00746269948675105,0.999999998120736
ZNF668,0,2,0,0,1,10.1978654092462,0,0,79.8040657631637,0.0236419238116654,0.910112229257199,0.0766179464803431,0.0124517116310296,0.843866475738091,0.977683077107757,0.996810799187675,0.00758909484711112,0.999999998120736
TCP11,0,2,0,0,1,7.11634937438715,0,0,99.2534125449019,0.0480539440336378,0.815879515827916,0.136706392897593,0.0100241194084431,0.843866475738091,0.977683077107757,0.996810799187675,0.010404715384135,0.999999998120736
SMIM15,0,0,0,0,1,0,0,0,684.186857142857,0.83558867922778,0.942353661241203,0.97614937929061,0.00146051046996948,0.866554384306769,0.977683077107757,0.996810799187675,0.0107682890473499,0.999999998120736
CXCR4,0,1,0,0,1,13.1151009931251,0,0,143.736734693878,0.0762778542369976,0.932439112976146,0.206907986425211,0.00693277193739982,0.843866475738091,0.977683077107757,0.996810799187675,0.0108257295755542,0.999999998120736
IL7R,0,3,0,0,0,28.6639366155015,0,0,0,0.000319108510378086,0.888665078726737,0.00151446174456782,1,0.843866475738091,0.977683077107757,0.996810799187675,0.011347400224817,0.999999998120736
MAP3K1,0,0,1,0,1,0,33.332223662752,33.332223662752,33.9154093097913,0.399147596507661,0.0268829925879145,0.0565469986106266,0.0290503442590098,0.843866475738091,0.977683077107757,0.996810799187675,0.012174792539833,0.999999998120736
NAPRT1,0,2,1,0,0,15.4524571673949,87.0940666148607,87.0940666148607,0,0.010183036283014,0.00924417353979601,0.00164595113663646,1,0.843866475738091,0.977683077107757,0.996810799187675,0.0121955710269748,0.999999998120736
UBE2L6,0,1,0,1,0,27.9062745130984,204.994220616226,204.994220616226,0,0.0327872459168578,0.00360809729712375,0.00173676667256661,1,0.843866475738091,0.977683077107757,0.996810799187675,0.0127751869396976,0.999999998120736
RCN1,0,1,0,0,1,9.15259580133188,0,0,154.560283993115,0.113794713406096,0.89864111971028,0.283690106533401,0.00644886870861935,0.843866475738091,0.977683077107757,0.996810799187675,0.0133620176609004,0.999999998120736
TCF4,0,0,1,1,0,0,60.7200138719149,60.7200138719149,0,0.449973521917453,0.000588714727005835,0.00183313230404814,1,0.843866475738091,0.977683077107757,0.996810799187675,0.0133850355505075,0.999999998120736
HIST1H4D,0,0,0,0,1,0,0,0,493.403983516484,0.67674829936454,0.960057235586358,0.91563513531956,0.00202466328746862,0.843866475738091,0.977683077107757,0.996810799187675,0.0135154941087163,0.999999998120736
PEX7,0,1,0,0,1,8.19320871165733,0,0,158.376587301587,0.128608100878989,0.849802431186794,0.308635744610953,0.00629396936911369,0.843866475738091,0.977683077107757,0.996810799187675,0.0140713158753398,0.999999998120736
SLC20A2,0,2,0,0,1,6.30864617620853,0,0,78.5819514329468,0.0605924956384173,0.826845304450334,0.166627937022201,0.0126441198973998,0.843866475738091,0.977683077107757,0.996810799187675,0.0150905262517351,0.999999998120736
